Accuracy,training,validation,test,Precision,training,validation,test,Recall,training,validation,test,Auc,training,validation,test
fold1,0.57,0.55,0.56,fold1,0.56,0.55,0.55,fold1,0.99,0.97,0.93,fold1,0.55,0.5,0.53
fold2,0.57,0.52,0.56,fold2,0.57,0.56,0.57,fold2,0.84,0.75,0.91,fold2,0.56,0.49,0.55
fold3,0.57,0.48,0.57,fold3,0.69,0.63,0.58,fold3,0.34,0.32,0.87,fold3,0.61,0.53,0.53
fold4,0.55,0.5,0.52,fold4,0.55,0.5,0.59,fold4,1,0.97,0.64,fold4,0.51,0.51,0.5
fold5,0.57,0.53,0.51,fold5,0.57,0.53,0.5,fold5,1,1,0.87,fold5,0.5,0.5,0.53
ave.,0.56,0.51,0.54,ave.,0.6,0.56,0.56,ave.,0.8,0.76,0.82,ave.,0.55,0.51,0.53
,,,,,,,,,,,,,,,
Accuracy,fulltrain,finaltest,,Precision,fulltrain,finaltest,,Recall,fulltrain,finaltest,,Auc,fulltrain,finaltest,
,0.58,0.53,,,0.58,0.6,,,0.9,0.18,,,0.57,0.53,
