degree,scale,C,Accuracy,Kappa,AccuracySD,KappaSD
1,0.001,0.25,0.543253684885105,0,0.000757173909944873,0
1,0.001,0.5,0.544462144099606,0.00379028418116345,0.0048319317930268,0.0100452251021609
1,0.001,1,0.537810125423418,-0.00779255967958445,0.0135657983902338,0.0266497882884619
1,0.001,2,0.53901858463792,-0.0056337767894495,0.0129759825341347,0.0259098279189505
1,0.001,4,0.53901858463792,-0.0056337767894495,0.0129759825341347,0.0259098279189505
1,0.01,0.25,0.540227043852421,-0.00300762636101406,0.0112361953820092,0.0223093859329084
1,0.01,0.5,0.540833104458482,-0.00178641842964456,0.0134714351579919,0.0270424919724867
1,0.01,1,0.542649455277854,0.00230412829944842,0.0148569964292271,0.0300331388653881
1,0.01,2,0.540232536848851,-0.000944208858206463,0.0146934040932864,0.0306231136828241
1,0.01,4,0.515402361988465,-0.0306977247955049,0.024916040469183,0.0364198315307457
1,0.1,0.25,0.534184747779914,-0.00981513289951045,0.011657816430682,0.0251082598388592
1,0.1,0.5,0.506895541517898,-0.0309299214868605,0.049510946916103,0.0809256110160304
1,0.1,1,0.491183740730569,-0.0166893255391929,0.0407912597692836,0.0634118884930916
1,0.1,2,0.476673075162501,-0.0249574728397544,0.0476669137498317,0.0745203617882556
1,0.1,4,0.480917330403735,-0.00943459815367374,0.0398724594001016,0.0626401773759541
1,1,0.25,0.483936647441179,-0.00722812923367244,0.0471938236553258,0.0771460828107866
1,1,0.5,0.4760780005493,-0.017176786546925,0.0394612826309519,0.0645286024324274
1,1,1,0.480911837407306,-0.0135389456905935,0.0377145649601216,0.0698181368796923
1,1,2,0.491789801336629,0.00196539218790369,0.0417799136377303,0.07596744281507
1,1,4,0.489372882907626,-0.00404998113689672,0.0438857788577736,0.0776892980097277
1,10,0.25,0.494206719765632,0.00613328445171193,0.0452043488963585,0.0798693930954737
1,10,0.5,0.488164423693125,-0.00663230624140639,0.0422736994734587,0.0740144030791383
1,10,1,0.480913668406116,-0.0211199783149723,0.0356299868270611,0.0630803957792205
1,10,2,0.480309438798865,-0.0203437697725775,0.0356032341829714,0.06339074743809
1,10,4,0.478496749977113,-0.0204628772824108,0.0353812547015749,0.0625253767778004
2,0.001,0.25,0.541437334065733,-0.00176905352055714,0.00958956544363761,0.0195262604311753
2,0.001,0.5,0.542649455277854,0.000647037040897991,0.00809726127340272,0.0165845244351835
2,0.001,1,0.542045225670603,-0.000790196632510268,0.00915957177503894,0.019126933739584
2,0.001,2,0.542649455277854,0.000646048608803923,0.00964093597637839,0.0202229484443052
2,0.001,4,0.543253684885105,0.00208328228221218,0.00858503337108183,0.0176922002640589
2,0.01,0.25,0.545670603314108,0.00755960270366076,0.00939835966916869,0.019877323054058
2,0.01,0.5,0.509332600933809,-0.002959853405089,0.0386401285330381,0.0589430079781102
2,0.01,1,0.479690561201135,-0.0132187078688578,0.0461206637142145,0.0517573160028344
2,0.01,2,0.479091824590314,-0.00174696718078403,0.0443753744987327,0.0483094181107591
2,0.01,4,0.482719033232628,0.0141509424180116,0.050504483519165,0.0559495149682011
2,0.1,0.25,0.480911837407306,0.020162661884146,0.0521945717538356,0.0452504372859807
2,0.1,0.5,0.479703378192804,0.0211613291512495,0.0513111490267265,0.0526298852012906
2,0.1,1,0.479099148585553,0.0200104685923709,0.0499675268585243,0.0501054268114979
2,0.1,2,0.479099148585553,0.0200104685923709,0.0499675268585243,0.0501054268114979
2,0.1,4,0.479099148585553,0.0200104685923709,0.0499675268585243,0.0501054268114979
2,1,0.25,0.480309438798865,0.0209057486344042,0.0474308554396602,0.0409815252625896
2,1,0.5,0.480309438798865,0.0209057486344042,0.0474308554396602,0.0409815252625896
2,1,1,0.480309438798865,0.0209057486344042,0.0474308554396602,0.0409815252625896
2,1,2,0.480309438798865,0.0209057486344042,0.0474308554396602,0.0409815252625896
2,1,4,0.480309438798865,0.0209057486344042,0.0474308554396602,0.0409815252625896
2,10,0.25,0.479100979584363,0.0185284319834495,0.0463881788660987,0.0384306936447961
2,10,0.5,0.479100979584363,0.0185284319834495,0.0463881788660987,0.0384306936447961
2,10,1,0.479100979584363,0.0185284319834495,0.0463881788660987,0.0384306936447961
2,10,2,0.479100979584363,0.0185284319834495,0.0463881788660987,0.0384306936447961
2,10,4,0.479100979584363,0.0185284319834495,0.0463881788660987,0.0384306936447961
3,0.001,0.25,0.544462144099606,0.0040218338506047,0.00569867531180915,0.0119604097165468
3,0.001,0.5,0.544462144099606,0.0040218338506047,0.00569867531180915,0.0119604097165468
3,0.001,1,0.544462144099606,0.0040218338506047,0.00569867531180915,0.0119604097165468
3,0.001,2,0.545670603314108,0.00666457271571548,0.00576478496895364,0.0120423157819926
3,0.001,4,0.537804632426989,-0.00404358758356796,0.0081836163561345,0.0149009957135136
3,0.01,0.25,0.474871372333608,0.00127924141406158,0.0419818672598433,0.00880877941130656
3,0.01,0.5,0.473662913119106,-0.00113541235383562,0.0392843570371307,0.00525451106673644
3,0.01,1,0.474267142726357,0.000758080147865697,0.0406330342963769,0.00786588742299918
3,0.01,2,0.478496749977113,0.0124500825785862,0.050077430159873,0.0326748282152157
3,0.01,4,0.479705209191614,0.0179293374195509,0.052776703469844,0.0448264501681308
3,0.1,0.25,0.474267142726357,7.12152315663338e-05,0.0406330342963769,0.00673049598299788
3,0.1,0.5,0.474267142726357,7.12152315663338e-05,0.0406330342963769,0.00673049598299788
3,0.1,1,0.474267142726357,7.12152315663338e-05,0.0406330342963769,0.00673049598299788
3,0.1,2,0.474267142726357,7.12152315663338e-05,0.0406330342963769,0.00673049598299788
3,0.1,4,0.474267142726357,7.12152315663338e-05,0.0406330342963769,0.00673049598299788
3,1,0.25,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,1,0.5,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,1,1,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,1,2,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,1,4,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,10,0.25,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,10,0.5,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,10,1,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,10,2,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
3,10,4,0.474267142726357,-0.000158801879176269,0.0406330342963769,0.00638781956931001
