Accuracy,training_accuracy,validation_accuracy,test_accuracy,Precision,train_precision,validation_precision,test_precision,Recall,train_recall,validation_recall,test_recall
fold 1,0.56,0.62,0.64,fold 1,0.8,0.81,0.93,fold 1,0.56,0.62,0.64
fold 2,0.57,0.64,0.6,fold 2,0.8,0.93,0.81,fold 2,0.57,0.64,0.59
fold 3,0.59,0.6,0.6,fold 3,0.84,0.81,0.81,fold 3,0.6,0.59,0.6
fold 4,0.57,0.6,0.57,fold 4,0.83,0.81,0.77,fold 4,0.58,0.6,0.55
fold 5,0.6,0.57,0.62,fold 5,0.9,0.77,0.81,fold 5,0.6,0.55,0.62
ave.,0.58,0.61,0.61,ave.,0.83,0.83,0.83,ave.,0.58,0.6,0.6
 , , , , , , , , , , , 
