epsilon,tolerance,error,dispersion
0.1,0.1,0.460450160771704,0.0423168717076839
0.01,0.1,0.460450160771704,0.0423168717076839
0.001,0.1,0.460450160771704,0.0423168717076839
0.1,0.01,0.455305466237942,0.0405195729955585
0.01,0.01,0.455305466237942,0.0405195729955585
0.001,0.01,0.455305466237942,0.0405195729955585
0.1,0.001,0.455948553054662,0.041887123008314
0.01,0.001,0.455948553054662,0.041887123008314
0.001,0.001,0.455948553054662,0.041887123008314
